,id,ori_path,adv_path,audibility2
143643,8463-294828-0035-i11,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8463/294828/8463-294828-0035.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8463-294828-0035_adv_x/wav_x_adv_i11_0.061713294432106276.wav,0.061713294432106276
145619,2094-142345-0032-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2094/142345/2094-142345-0032.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2094-142345-0032_adv_x/wav_x_adv_i2_0.053078052175919405.wav,0.053078052175919405
146706,2300-131720-0003-i3,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/2300/131720/2300-131720-0003.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_2300-131720-0003_adv_x/wav_x_adv_i3_0.04241006151476243.wav,0.04241006151476243
148205,121-123852-0004-i5,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/121/123852/121-123852-0004.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_121-123852-0004_adv_x/wav_x_adv_i5_0.03372889620438754.wav,0.03372889620438754
148724,8463-294828-0008-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/8463/294828/8463-294828-0008.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_8463-294828-0008_adv_x/wav_x_adv_i2_0.04038061569529215.wav,0.04038061569529215
149253,1089-134686-0034-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1089/134686/1089-134686-0034.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1089-134686-0034_adv_x/wav_x_adv_i1_0.04820727543726288.wav,0.04820727543726288
150282,1284-1180-0001-i2,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1284/1180/1284-1180-0001.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1284-1180-0001_adv_x/wav_x_adv_i2_0.04985703183688122.wav,0.04985703183688122
154530,61-70970-0005-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/61/70970/61-70970-0005.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_61-70970-0005_adv_x/wav_x_adv_i1_0.04764985898202662.wav,0.04764985898202662
155375,7127-75947-0009-i4,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/7127/75947/7127-75947-0009.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_7127-75947-0009_adv_x/wav_x_adv_i4_0.032889628466966546.wav,0.032889628466966546
155684,1188-133604-0043-i1,/home/vmoat/userstudy_wsbnew/LibriSpeech_under5s/test-clean/1188/133604/1188-133604-0043.flac,/home/vmoat/vmoat_code/user_study_adv_audio/attack_verification_test-clean_under5s/model_weight_200_audi_1188-133604-0043_adv_x/wav_x_adv_i1_0.04122139677820843.wav,0.04122139677820843
